station_id,latitude,longitude
KIRS,41.8154,-85.4376
CYMT,49.779,-74.527
CYNA,50.19,-61.789
KCCA,35.5946,-92.4455
KIKW,43.6643,-84.2613
KI68,39.4664,-84.2532
KMTV,36.6272,-80.0134
KI40,40.3101,-81.8544
KI23,39.5697,-83.4239
KANQ,41.6405,-85.0852
KSDC,43.2355,-77.1201
KHZL,40.9845,-75.9901
KOKV,39.1406,-78.1391
KCLK,35.5381,-98.9336
KINJ,32.0844,-97.0959
KJYO,39.0826,-77.5606
KOSC,44.453,-83.396
KONZ,42.0991,-83.1611
KONM,34.0263,-106.9037
KONA,44.076,-91.707
KRNP,42.9937,-84.1347
KSAZ,46.3785,-94.8016
KOLG,46.3153,-91.8183
KOIC,42.5642,-75.5269
KSGS,44.8601,-93.032
KO32,36.6691,-119.4525
KNRN,39.8497,-99.8915
KN79,40.8371,-76.546
KMZH,46.4163,-92.8049
KMYJ,39.1561,-91.8129
KMWM,43.91,-95.1073
KMRT,40.2237,-83.3474
KMQJ,39.8402,-85.894
KMOX,45.5677,-95.9659
KMOP,43.6229,-84.743
KSKA,47.612,-117.679
K0V4,37.1399,-79.0171
K20U,46.9251,-103.9852
K21D,45.0002,-92.8549
K4M3,34.804,-91.707
CYKL,54.803,-66.804
K7W4,37.9667,-77.7453
KACQ,44.0702,-93.5535
PAHY,55.202,-132.825
KBBB,45.331,-95.6469
KBCB,37.208,-80.4127
KCFJ,39.9767,-86.9148
KCKC,47.8366,-90.3864
KCQM,47.8199,-92.6817
KD39,45.7056,-94.9309
KDQH,31.4738,-82.8609
KDRM,46.009,-83.743
KDXX,44.9839,-96.1789
KEDC,30.3926,-97.5622
KFHM,34.0677,-118.2417
CZUM,53.562,-64.107
KY63,45.9891,-95.9946
KFRH,38.5034,-86.6442
KXSA,37.8606,-76.9016
KX60,29.3524,-82.4743
KFRR,38.9169,-78.2487
KFVX,37.363,-78.4372
KFYJ,37.5224,-76.7663
KW78,36.7087,-78.846
KIIY,33.7797,-82.8135
KL18,33.3551,-117.249
KVNW,40.8633,-84.613
KLJF,45.0949,-94.5084
KMBY,39.464,-92.4244
KMDS,44.0141,-97.0817
KVER,38.9496,-92.6842
KMGN,45.4241,-84.913
KVBW,38.366,-78.968
KUUV,38.2335,-91.1609
KMVE,44.9675,-95.7116
KOMH,38.2487,-78.0454
KULM,44.3227,-94.5024
KOVL,44.7792,-95.0304
KUKT,40.4368,-75.3802
KPCD,37.8749,-89.8582
KRID,39.7579,-84.8359
KTGI,37.8279,-75.9964
KTEW,42.5636,-84.4223
KSRR,33.4667,-105.5278
KROS,45.6962,-92.9543
KPTB,37.1803,-77.5081
KGPH,39.3248,-94.3082
KDYA,32.4641,-87.9504
KC62,41.4739,-85.2541
KGNT,35.1653,-107.9021
K1P1,43.7771,-71.756
KLDJ,40.6162,-74.2451
KBEA,28.3692,-97.7953
LMML,35.858,14.477
K8W2,38.6555,-78.7083
KDLO,35.7449,-119.2387
KBOW,27.9472,-81.7811
KY19,46.7648,-100.8941
KW13,38.077,-78.944
K5A9,32.9362,-84.6972
KTWT,37.5432,-87.9568
K6L4,37.8552,-81.915
K08D,48.3018,-102.4042
KBVU,35.9489,-114.8633
KMCX,40.7127,-86.7649
KIKT,28.5208,-88.2889
KPLD,40.4532,-84.9848
KCLS,46.6775,-122.9857
KMFV,37.646,-75.763
KCMR,35.3016,-112.197
KCPK,36.6631,-76.3264
KD50,48.9248,-103.2958
KW96,37.5027,-77.126
KHFY,39.628,-86.088
KW75,37.6024,-76.4477
KW31,36.9599,-78.1838
KF95,30.4881,-85.1148
KAID,40.1061,-85.6098
KEMV,36.6858,-77.485
KEZM,32.2136,-83.1321
KCCO,33.3107,-84.7713
KJAQ,38.3742,-120.7943
KJKJ,46.8404,-96.6545
KCPF,37.3869,-83.2593
KMCJ,29.7139,-95.3967
KHYX,43.4319,-83.8648
KHWY,38.5876,-77.715
KUYF,39.9312,-83.465
KHOB,32.6797,-103.2222
KHLX,36.7637,-80.8211
KW63,36.6008,-78.5559
KHCR,40.4774,-111.4329
KPOV,41.209,-81.2479
KRGK,44.5926,-92.4844
KHAF,37.5136,-122.4996
KJXI,32.7036,-94.9471
KGYL,44.7588,-94.0905
KRMY,42.2524,-84.9526
KGVE,38.1569,-78.1656
KGHW,45.6456,-95.3187
KSNK,32.6917,-100.9505
KY70,42.9397,-85.0653
KY49,47.1599,-94.6433
KY31,44.2434,-84.18
KX59,27.9624,-80.561
KW81,37.1813,-78.0977
KVVV,45.2993,-96.4256
KUTA,34.6766,-90.344
KUMP,39.936,-86.0478
KTWM,47.0192,-91.7447
KTTF,41.9371,-83.4332
CYPD,45.657,-61.374
KTOB,44.0202,-92.8295
CYQA,44.971,-79.303
KTMA,31.4229,-83.4859
CYPX,60.045,-77.281
KTKX,36.2226,-90.0367
KSYM,38.2199,-83.5835
KSVE,40.376,-120.5742
KSUZ,34.5862,-92.4802
KSTF,33.4326,-88.8506
KSPF,44.4811,-103.7879
K10G,40.5357,-81.9531
KSOW,34.2686,-110.0019
KSNC,41.383,-72.506
KSIK,36.9027,-89.5577
KSHD,38.2601,-78.9013
KSFQ,36.6825,-76.6013
KS32,47.424,-98.11
KS25,47.7954,-103.2567
KRVL,40.6768,-77.6251
KRSN,32.5159,-92.5899
KRRT,48.9318,-95.3405
KROX,48.856,-95.6949
KRCM,38.7855,-93.8058
KRCE,35.4971,-97.8255
KRAW,38.3484,-93.3436
KELO,47.8287,-91.8371
KPWC,46.7266,-94.3849
KPTD,44.6757,-74.9469
KPQN,43.9854,-96.2977
KPLR,33.5608,-86.2463
KPJC,40.8009,-80.1624
KHCO,48.7524,-96.9376
KJMR,45.8885,-93.269
KPEX,45.3725,-94.7388
KPAN,34.2551,-111.3379
KGAF,48.4081,-97.3694
KOWA,44.1191,-93.2569
KMGG,45.2354,-93.9896
PMDY,28.206,-177.382
KOKB,33.2195,-117.3496
CWND,69.632,-135.445
KETH,45.7828,-96.5461
CYQX,48.946,-54.576
KCRQ,33.1299,-117.2765
KHHR,33.9235,-118.3329
PASN,57.155,-170.223
KAQP,45.2249,-96.0041
KCDD,48.2601,-92.4748
KHAI,41.9591,-85.5933
EGUN,52.362,0.486
KOZR,31.2767,-85.7105
UACC,51.024,71.468
CYYL,56.863,-101.073
CYTZ,43.627,-79.397
CYCY,70.484,-68.515
KXVG,46.9942,-94.206
URMM,44.225,43.082
CZSJ,53.063,-93.344
CYHD,49.83,-92.74
CYNM,49.759,-77.793
PAVA,61.537,-165.604
USRR,61.342,73.422
PWAK,19.287,166.623
KRME,43.2242,-75.3956
LTFE,37.245,27.673
KIWI,43.9639,-69.7114
CYAY,51.39,-56.081
KCEC,41.7836,-124.238
PAMH,63.889,-152.292
CYQZ,53.027,-122.506
KQFV,-99.99,-99.99
KQFW,-99.99,-99.99
KQEP,-99.99,-99.99
CYCA,53.683,-57.042
KQFX,-99.99,-99.99
KQEJ,-99.99,-99.99
KQFB,-99.99,-99.99
PGUA,13.583,144.918
CYCK,42.307,-82.085
KQFU,-99.99,-99.99
PASY,52.711,174.107
ETIC,49.696,11.941
KQEW,-99.99,-99.99
KQFT,-99.99,-99.99
PAMK,63.484,-162.115
KQER,-99.99,-99.99
KSYN,44.474,-93.014
KQEI,-99.99,-99.99
KQEQ,-99.99,-99.99
KQEX,-99.99,-99.99
KQEN,-99.99,-99.99
PAEI,64.654,-147.094
EGQS,57.711,-3.324
KQEV,-99.99,-99.99
CYMH,52.304,-55.833
ETHF,51.114,9.286
CYTH,55.803,-97.846
CYEK,61.098,-94.072
UWWW,53.509,50.163
CWSA,43.933,-60.002
PAPB,56.576,-169.663
K9MN,44.0198,-92.4829
URKK,45.033,39.15
CYUX,68.772,-81.233
KBGR,44.7979,-68.8195
KHLR,31.1361,-97.7149
CYYT,47.627,-52.748
CYGV,50.286,-63.606
SBSP,-23.627,-46.655
CYEV,68.309,-133.5
PARC,68.113,-145.576
KMNM,45.126,-87.639
PADE,66.0696,-162.7613
RODE,26.718,127.783
ETIH,49.216,11.839
CYTE,64.23,-76.528
KLUF,33.538,-112.38
KIAG,43.1083,-78.9382
KPMH,38.8387,-82.8494
EGUL,52.409,0.561
KACV,40.9784,-124.1048
KTKC,44.25,-95.612
KSMO,34.021,-118.4471
CYBQ,58.707,-98.511
CYKF,43.462,-80.386
KFYV,36.0103,-94.1624
KOTH,43.4194,-124.2438
PAUN,63.885,-160.794
KFFA,36.0165,-75.6739
K4I3,40.3268,-82.5201
KFVE,47.2852,-68.3072
KANJ,46.48,-84.3581
PHBK,22.034,-159.783
PASD,55.318,-160.525
YPXM,-10.453,105.688
ROTM,26.271,127.754
CYGW,55.283,-77.76
KMRN,35.8192,-81.6097
KRKD,44.0611,-69.1014
VEIM,24.76,93.897
KMRF,30.3707,-104.0117
CYSJ,45.309,-65.886
PAFS,63.015,-154.367
CYTL,53.816,-89.892
VEAT,23.887,91.24
URWW,48.788,44.336
RJOR,35.53,134.165
LFRC,49.65,-1.47
LFRK,49.18,-0.456
LFOZ,47.897,2.163
LFPT,49.097,2.041
CWSF,49.251,-65.325
CWDC,59.56,-108.487
CWWS,52.819,-97.616
LFRH,47.761,-3.44
CWVQ,45.427,-73.929
LFRQ,47.975,-4.168
LRBS,44.511,26.078
LRCK,44.362,28.488
LROP,44.572,26.102
LRSB,45.789,24.091
CYZV,50.217,-66.26
LRTR,45.811,21.333
GCGM,28.032,-17.211
GCHI,27.819,-17.889
RCKH,22.577,120.35
LEAL,38.282,-0.558
LEBL,41.293,2.07
LEIB,38.876,1.384
LEMD,40.466,-3.555
LEMG,36.666,-4.482
LEPA,39.561,2.737
LEVC,39.489,-0.482
LEVX,42.239,-8.624
